id,team_id,service_id,score,stolen,lost
1,0,0,5000,0,0
2,0,1,5000,0,0
3,0,2,5000,0,0
4,0,3,5000,0,0
5,0,4,5000,0,0
6,0,5,5000,0,0
7,0,6,5000,0,0
8,0,7,5000,0,0
21,2,4,3625.546094,257,306
41,5,0,2456.914964,0,273
51,6,2,5901.914152,455,253
12,1,3,7617.645548,201,0
28,3,3,4252.539656,0,59
40,4,7,9712.663406,1019,157
11,1,2,9684.924224,760,145
20,2,3,4906.739811,0,7
33,4,0,7196.281462,263,63
37,4,4,9895.017537,699,72
27,3,2,3162.556129,183,391
36,4,3,4829.918243,0,11
57,7,0,3496.441231,0,141
34,4,1,5126.762502,109,47
24,2,7,5072.221286,520,329
25,3,0,2488.718781,0,269
26,3,1,4445.222192,97,147
14,1,5,9323.37909,569,22
18,2,1,7514.396514,328,35
55,6,6,6264.930302,402,197
53,6,4,11105.68658,823,23
30,3,5,2459.622137,267,608
58,7,1,5164.370291,186,115
39,4,6,9708.123183,609,32
31,3,6,2744.269783,266,551
45,5,4,0,0,825
15,1,6,8758.019022,512,21
29,3,4,2940.274625,182,381
62,7,5,353.4033112,25,711
23,2,6,7203.107861,465,100
22,2,5,7413.764079,488,103
46,5,5,0,0,663
17,2,0,6118.234986,128,18
52,6,3,4758.118064,0,16
9,1,0,10515.25133,606,0
38,4,5,9350.951957,605,54
49,6,0,2728.157247,0,233
54,6,5,6157.501305,424,217
61,7,4,558.068798,16,724
44,5,3,4378.181794,0,49
43,5,2,0,0,809
35,4,2,12078.90874,1075,77
19,2,2,4304.679971,332,295
59,7,2,0,0,835
60,7,3,4256.856884,0,59
32,3,7,3133.593156,257,407
63,7,6,354.3630324,24,720
47,5,6,0,0,657
56,6,7,6335.000729,636,388
16,1,7,11606.32843,1085,194
64,7,7,238.8669596,128,1026
48,5,7,0,0,1144
50,6,1,4251.588421,103,125
10,1,1,8372.311326,403,105
42,5,1,125.348754,0,652
13,1,4,7000.171261,593,239